Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
CLEC4M,3.56,0,0,0,1.08,0,0,0,0.32,1.08,4.66,0.34,0.64,1.11,1.07,0,0,3,0,0,0,0,1.39,0,0,0,0
TAF12,769.69,620.67,708.18,547.75,483.38,769.69,780.44,1143.1,825,713.11,483.38,988.12,595.34,607.87,463.65,463.65,612.11,423.61,366.09,525.39,633.73,624.99,759.08,1159.07,785.88,373.81,728.11
HAS1,7.46,11.55,9.34,8.38,660.68,13.83,5.06,6.11,8.65,16.39,1.55,1.45,0,2.23,1.53,8.13,7.28,2.56,15.91,2.81,1.53,0.54,13.12,0,3.2,2.56,30.78
LPL,80.57,68.55,77.25,785.88,1685.71,71.5,743.43,353.59,61.25,102.97,896.64,232.94,34.51,1096.5,420.68,80.57,117.6,85.82,158.79,88.26,115.16,265.87,1259.69,24.28,42.41,29.06,105.89
C3orf14,400.71,2148.82,1225.22,656.11,743.43,2537.92,80.57,947.83,1119.56,1628.26,1008.9,674.59,988.12,1639.59,866.07,967.76,126.12,2645.74,1073.91,6471.02,1674.06,2777.33,1397.83,1639.59,4095,2319.15,2997.45
RAB33B,122.64,88.26,178.77,138.1,112.77,93.35,202.66,124.37,138.1,65.26,242.88,49.21,102.25,91.41,106.63,106.63,147.06,127,55.49,58.71,102.25,112.77,94.67,61.68,52.82,93.35,119.26
GARS,1487.87,3665.02,1350.18,1350.18,1870.53,1733.13,1407.55,2400.97,1519.15,4419.52,1369.04,4038.61,1583.71,1572.76,1685.71,3325.99,1697.45,2796.65,4388.98,3794.3,1806.78,1605.83,1870.53,1844.76,1519.15,1857.6,2434.5
NLRP1,99.43,99.43,136.19,412,244.57,591.22,77.25,150.17,146.03,426.57,154.42,275.28,32.36,164.42,81.71,162.14,221.86,62.12,39.5,114.36,149.12,87.03,293.07,86.43,56.28,336.79,149.12
ALG1L,12.55,246.28,0,6.36,4.62,299.25,301.33,15.11,3.5,104.42,27.44,24.11,29.27,111.21,521.76,1.35,5.15,15.68,3.11,3.56,20.11,3.56,37.59,397.93,463.65,209.84,6.11
SLC13A4,12.74,1.57,4.06,40.36,10.08,26.86,23.25,7.82,40.93,19.68,22.26,5.19,7.63,7.82,18.03,14.78,31.67,11.73,13.03,3.35,10,1.75,26.86,19.39,5.92,11.73,4.17
VCAN,941.27,2209.26,3419.52,1709.26,2777.33,1388.16,1819.35,5913.33,1685.71,703.28,3325.99,603.67,73.03,2701.35,928.3,1286.18,4419.52,647.07,1208.34,1127.35,3614.55,2032.85,3190.46,591.22,954.43,567.1,5995.9
AP001468.1,42.11,33.54,18.97,59.97,19.82,18.03,9.48,20.86,17.64,14.78,19.25,35.25,23.93,41.52,41.52,6.11,22.1,31.45,3.56,53.95,24.81,104.42,7.94,0,10.63,24.81,19.82
FCN1,17.77,23.76,23.93,64.34,647.07,258.57,72.01,21.47,123.5,119.26,195.72,77.25,4.1,66.18,35.5,163.28,154.42,25.17,22.59,16.63,41.22,47.5,185.11,4.94,4.86,92.7,13.12
SRSF9,5366.37,3928.15,3716.2,3768.09,3039.3,2777.33,5672.41,2976.74,4095,5366.37,2701.35,3847.29,4671.57,4066.71,5183.54,9474.59,3540.14,4181.07,4704.07,5517.27,3325.99,4095,4239.45,2956.17,4210.15,5913.33,5441.3
FKRP,137.14,248,135.24,125.24,226.54,132.44,134.3,153.34,175.07,131.51,108.14,144.01,108.14,145.02,157.68,190.34,231.32,92.05,199.85,180.02,206.94,195.72,242.88,153.34,208.38,164.42,197.09
MST1R,493.56,423.61,199.85,262.2,199.85,71,100.13,325.29,540.19,309.83,37.32,209.84,20.56,33.3,223.41,117.6,74.58,371.22,10.63,228.13,260.38,432.53,299.25,217.27,141.02,305.55,483.38
PCDHGA8,0.65,1.07,2.07,1.68,2.76,154.42,3.11,2.71,1.55,3.11,36.79,1.01,3.59,1.45,7.34,0.96,4.62,0.66,0,1.07,7.06,3.72,2.97,0,0,0.36,1.79
DDX51,379.04,197.09,226.54,397.93,277.2,162.14,251.48,131.51,262.2,363.56,133.36,432.53,358.54,277.2,212.78,212.78,218.79,341.51,368.65,483.38,332.14,175.07,334.46,111.99,981.29,217.27,217.27
ADAMDEC1,162.14,116.78,42.71,117.6,4.58,137.14,48.18,80.01,127.89,307.69,629.35,251.48,11.82,76.71,103.69,273.37,199.85,199.85,53.95,23.59,149.12,61.68,132.44,136.19,64.34,353.59,95.34
CAMK2G,543.96,447.82,325.29,532.74,205.5,208.38,204.07,279.14,273.37,866.07,325.29,186.4,303.44,371.22,343.89,373.81,780.44,214.27,260.38,249.73,249.73,353.59,329.84,205.5,318.57,486.75,329.84
ZC3H10,177.53,189.02,163.28,260.38,134.3,172.65,161.02,224.97,155.5,98.73,228.13,100.83,244.57,127,197.09,75.11,81.14,118.43,102.97,231.32,204.07,205.5,183.82,287.01,189.02,221.86,147.06
NFIB,384.34,343.89,698.41,351.14,325.29,414.87,128.79,90.14,59.13,447.82,1350.18,1023,123.5,384.34,366.09,624.99,1819.35,265.87,1037.29,339.14,583.07,139.07,226.54,738.29,327.56,323.03,221.86
BPTF,842.36,934.76,836.53,1066.48,688.78,1437.15,2664.15,780.44,723.08,511,2133.97,813.63,872.1,1081.39,1674.06,591.22,1286.18,1111.82,1096.5,603.67,915.51,1104.13,540.19,616.37,995,1331.57,995
STAG1,351.14,426.57,341.51,348.71,341.51,343.89,251.48,400.71,341.51,134.3,1359.57,320.8,251.48,325.29,309.83,246.28,384.34,295.11,226.54,242.88,258.57,392.44,205.5,336.79,426.57,412,329.84
CCND2,90.77,149.12,186.4,193.01,318.57,112.77,142.01,293.07,143.01,190.34,684.02,110.43,34.02,153.34,55.89,88.88,267.73,89.51,28.04,85.22,182.55,134.3,215.77,58.71,45.21,133.36,256.78
STYK1,14.67,13.93,7.22,106.63,142.01,81.14,36.79,37.05,35.76,5.23,72.01,57.08,17.51,90.77,70.01,24.81,212.78,148.09,69.52,16.27,17.77,62.56,158.79,47.5,1.23,221.86,24.99
PIGK,353.59,363.56,836.53,312,688.78,256.78,334.46,483.38,674.59,397.93,332.14,412,389.72,444.72,486.75,395.18,830.75,346.29,1369.04,226.54,480.04,470.14,376.41,473.41,595.34,503.95,612.11
SLC29A4,12.27,55.1,44.25,135.24,112.77,137.14,100.83,47.84,17.25,346.29,40.36,102.97,19.68,97.36,98.04,17.51,72.52,89.51,155.5,26.47,27.64,47.84,148.09,39.5,438.59,5.45,28.04
KCTD1,595.34,258.57,1143.1,543.96,543.96,651.58,183.82,521.76,674.59,417.77,647.07,387.02,599.49,503.95,271.48,466.88,934.76,447.82,1073.91,1191.69,860.08,336.79,381.68,406.31,191.67,638.15,476.71
ATP5SL,830.75,759.08,974.5,909.17,587.13,633.73,866.07,890.44,842.36,780.44,595.34,444.72,872.1,1081.39,1037.29,1304.15,571.05,1167.14,718.08,1044.52,928.3,1081.39,1059.11,555.41,848.22,764.36,723.08
TNFSF15,4.46,19.82,11.91,12.93,6.62,3.26,2.56,29.06,9.48,16.15,84.63,56.28,1.36,11.3,8.45,31.67,31.45,7.46,54.33,18.56,19.25,11.91,7.57,15.11,28.65,18.43,24.81
CENPC,258.57,154.42,147.06,258.57,152.28,112.77,146.03,228.13,180.02,83.45,780.44,171.45,150.17,191.67,194.36,103.69,297.17,205.5,123.5,122.64,139.07,218.79,113.56,120.94,104.42,146.03,157.68
XXYLT1,320.8,371.22,283.05,239.52,159.9,389.72,185.11,339.14,279.14,161.02,432.53,260.38,239.52,217.27,166.73,323.03,169.07,198.47,208.38,79.45,217.27,285.03,237.86,59.97,414.87,339.14,239.52
CXCL11,249.73,291.04,25.35,289.02,15.8,414.87,36.01,139.07,108.14,301.33,361.04,72.52,0.53,22.1,4.06,273.37,629.35,73.54,14.24,125.24,14.67,205.5,224.97,529.06,43.63,356.05,191.67
AL353608.1,0,3.5,0.69,5.63,1.39,1.64,0,3.72,0,0,26.47,0,4.58,1.41,1.03,0,0,0,0,0.69,0.69,0,0.34,0,0,1.57,0
AC016586.1,2.76,2.43,0.71,3.32,2.1,0.66,3.86,0.36,1.85,0.37,7.82,2.94,4.86,0.37,0.71,0.95,0,2.84,0.92,3.14,0.36,2.51,1.35,10.24,1.19,2.84,1.43
NSG1,13.62,7.63,39.79,38.12,72.01,33.54,23.42,14.67,11.38,115.16,29.27,16.03,4.35,87.03,2.66,27.05,31.45,5.11,2.32,12.45,69.52,15.34,21.32,21.94,37.59,11.64,33.78
GBX1,0,0,0.67,0,0,0,1.01,0.33,0,0,0,0,0,0,0,0.6,0,0.6,0.87,0,0,0,0,0,0,0.3,0
LLGL2,1242.34,1127.35,860.08,1896.65,909.17,2627.46,1963.57,884.29,1721.16,1487.87,902.89,1594.73,532.74,1417.35,1857.6,1191.69,1143.1,2875.3,1066.48,967.76,1857.6,1417.35,1685.71,860.08,2417.67,1127.35,1119.56
ADAMTS20,0.31,1.99,0,0,0,1.25,4.94,0,0.31,0,0,0.33,1.17,0.36,0,0,0,0,7.51,0,0.67,0.32,2.23,0,5.77,15.8,0.36
LINS,273.37,189.02,279.14,163.28,343.89,366.09,285.03,273.37,218.79,141.02,285.03,353.59,303.44,229.72,141.02,152.28,267.73,173.85,318.57,151.22,171.45,221.86,175.07,356.05,102.97,206.94,205.5
ZNF517,348.71,397.93,164.42,368.65,126.12,242.88,143.01,128.79,99.43,209.84,125.24,178.77,381.68,241.19,163.28,72.52,96.01,301.33,75.11,507.46,356.05,197.09,199.85,77.25,214.27,277.2,172.65
MIEN1,1950,1066.48,1806.78,1487.87,1104.13,2573.36,713.11,1685.71,1697.45,19082,400.71,723.08,2224.63,1685.71,7081.29,656.11,693.58,1617,703.28,2119.22,1781.89,2193.99,1250.98,21468.49,4066.71,2351.53,1540.37
SMC2,195.72,376.41,170.25,217.27,137.14,454.09,191.67,204.07,291.04,180.02,379.04,579.04,165.57,214.27,497,679.29,363.56,420.68,256.78,146.03,166.73,180.02,115.16,336.79,486.75,547.75,197.09
KRT39,0,1,0,2.86,0.33,4.1,0,0.65,0.89,2.71,0.84,0.62,0,0,0,0,0,0,0.28,0,0,0.91,0,7.11,7.69,2.12,1.03
LDLRAD3,2287.2,172.65,1233.75,612.11,647.07,693.58,2915.45,1477.58,1066.48,113.56,299.25,693.58,4095,2384.37,583.07,1857.6,426.57,753.83,412,329.84,287.01,2627.46,607.87,412,154.42,50.27,1295.13
SKAP1,567.1,108.9,21.94,536.45,329.84,204.07,389.72,400.71,309.83,177.53,384.34,67.12,10.47,334.46,41.52,75.11,145.02,1119.56,18.56,105.15,457.25,1037.29,642.59,366.09,551.56,202.66,412
GULP1,73.03,112.77,72.01,125.24,224.97,28.45,75.11,447.82,33.3,57.89,220.32,54.33,10.16,260.38,38.95,45.21,470.14,36.01,279.14,37.32,127.89,59.97,75.64,25.72,44.25,16.75,237.86
ZBED1,171.45,195.72,297.17,327.56,295.11,373.81,283.05,547.75,199.85,232.94,463.65,258.57,167.9,320.8,155.5,218.79,256.78,94.01,295.11,187.71,309.83,211.31,371.22,217.27,384.34,201.25,358.54
C5orf34,49.56,100.13,38.12,48.52,13.22,96.68,59.55,65.26,80.57,82.29,112.77,87.65,59.55,36.01,80.01,102.25,271.48,46.84,182.55,70.51,32.13,58.3,36.79,93.35,279.14,82.29,52.82
IVL,0,23.25,0,0.41,0,6.57,0.43,0.77,0,51.71,1.85,0,1.62,2.58,0,0,3.11,0.72,16.15,0.43,1.48,1.03,0.41,63.89,6.26,0.72,1.51
USP36,915.51,486.75,571.05,915.51,1331.57,723.08,371.22,536.45,420.68,457.25,420.68,860.08,429.54,698.41,595.34,819.3,1111.82,1088.92,848.22,688.78,587.13,624.99,417.77,387.02,536.45,616.37,728.11
DNAJC13,414.87,733.19,303.44,463.65,314.17,473.41,314.17,486.75,348.71,346.29,1277.29,208.38,237.86,412,348.71,204.07,473.41,417.77,183.82,432.53,320.8,540.19,329.84,555.41,785.88,567.1,314.17
C6orf47,435.55,480.04,490.14,432.53,547.75,403.5,540.19,244.57,490.14,591.22,497,616.37,454.09,409.15,441.64,503.95,403.5,457.25,454.09,441.64,693.58,612.11,493.56,514.56,466.88,387.02,269.6
SLC9A7,105.15,223.41,162.14,116.78,117.6,140.04,87.03,39.5,193.01,107.38,616.37,186.4,103.69,108.9,59.13,85.82,234.57,17.64,82.29,42.11,93.35,208.38,67.12,34.26,55.89,532.74,111.99
ST8SIA2,2.27,9.85,6.16,3.08,31,4.9,5.23,18.97,3.72,11.91,8.19,0.88,0,71.5,1.25,6.16,11.13,1.73,4.78,1.58,12.74,5.59,4.66,1.77,13.93,0.25,10
TSPAN3,7130.55,2104.58,4836.35,3124.78,2627.46,1175.27,1883.54,4419.52,1023,1242.34,2555.58,2591.27,2758.13,4095,4836.35,1794.29,2351.53,511,1225.22,4152.18,2303.12,2976.74,2224.63,3901.01,1781.89,4419.52,5329.3
TMEM194B,112.77,73.54,80.57,48.87,68.55,134.3,51.35,63.89,114.36,29.48,111.99,358.54,26.28,63.89,167.9,87.03,70.51,63.45,128.79,24.81,56.28,81.14,55.49,73.54,66.18,98.04,71.5
PASK,289.02,176.29,133.36,343.89,138.1,460.44,327.56,134.3,379.04,500.46,194.36,141.02,137.14,147.06,191.67,176.29,144.01,379.04,336.79,178.77,127,176.29,256.78,123.5,205.5,244.57,108.9
MFAP1,1322.37,872.1,738.29,567.1,753.83,511,529.06,543.96,884.29,343.89,373.81,536.45,718.08,669.92,1340.84,483.38,379.04,642.59,409.15,651.58,693.58,878.17,728.11,1030.12,547.75,785.88,967.76
GPR19,6.06,34.02,31.45,16.75,4.86,116.78,8.65,16.75,63.89,72.01,23.59,102.97,13.62,13.12,36.53,32.59,101.54,1.3,28.24,34.02,9.85,11.04,8.51,69.52,54.33,115.16,42.41
FRMD4B,96.68,223.41,173.85,299.25,283.05,403.5,177.53,231.32,237.86,117.6,460.44,77.25,73.54,154.42,152.28,97.36,318.57,59.97,120.1,154.42,209.84,107.38,318.57,89.51,83.45,312,182.55
PRKD2,791.35,1096.5,866.07,1023,733.19,559.28,1008.9,620.67,1250.98,1088.92,480.04,559.28,567.1,836.53,698.41,1233.75,967.76,703.28,1051.79,854.13,1225.22,708.18,1242.34,941.27,878.17,915.51,521.76
MKLN1,447.82,438.59,480.04,429.54,629.35,358.54,267.73,521.76,406.31,291.04,860.08,679.29,305.55,444.72,426.57,563.18,703.28,555.41,909.17,211.31,486.75,486.75,423.61,441.64,283.05,450.94,454.09
KCNJ10,3.99,25.17,1.77,7.17,1.43,27.05,1.1,5.06,6.36,19.53,11.82,13.93,1.27,3.89,5.45,5.54,19.39,4.7,2.14,9.2,2.1,8.58,6.57,6.01,4.39,47.5,1.81
GVQW1,10.39,21.47,9.06,28.86,13.42,20.11,18.56,34.02,16.03,18.56,25.17,9.48,4.78,17.13,9.06,10,67.59,4.66,21.16,7.11,19.97,10.63,10.96,13.32,19.39,10.96,13.72
CLDN22,0,10.63,0,5.06,8.65,2.2,0.34,3.59,4.43,18.29,2.51,3.14,0.58,6.46,1.66,8.65,0,10.55,13.22,1,3.32,18.16,0.96,21.01,0,0,0
RRAS2,131.51,665.29,414.87,226.54,497,206.94,197.09,532.74,70.51,285.03,156.59,1183.45,620.67,287.01,129.69,536.45,878.17,28.04,1519.15,148.09,155.5,583.07,194.36,314.17,151.22,34.26,674.59
C12orf52,493.56,466.88,441.64,547.75,223.41,287.01,669.92,277.2,420.68,457.25,297.17,241.19,514.56,432.53,555.41,429.54,366.09,713.11,579.04,629.35,438.59,441.64,463.65,215.77,314.17,435.55,417.77
TMEM147,2816.11,2645.74,2796.65,2915.45,1745.2,2119.22,3982.99,2627.46,2417.67,3443.31,1572.76,6699.25,2645.74,2664.15,3491.39,3325.99,3467.27,3372.43,6250.56,4450.27,3794.3,2976.74,3716.2,2303.12,3190.46,1909.85,2537.92
KLF7,60.39,323.03,92.7,242.88,351.14,267.73,134.3,218.79,50.98,165.57,291.04,194.36,16.03,392.44,140.04,87.03,118.43,87.65,141.02,23.93,155.5,61.68,187.71,145.02,85.22,136.19,226.54
HMCN1,136.19,389.72,323.03,239.52,279.14,138.1,130.6,358.54,123.5,88.26,251.48,60.39,21.78,239.52,118.43,111.99,255,47.17,97.36,120.1,303.44,84.04,289.02,16.63,217.27,45.21,346.29
CHKB,1639.59,532.74,463.65,1119.56,780.44,575.03,607.87,1073.91,759.08,1023,483.38,376.41,791.35,842.36,1037.29,414.87,624.99,785.88,343.89,620.67,371.22,543.96,902.89,718.08,708.18,441.64,563.18
PPP1R21,289.02,332.14,303.44,341.51,334.46,460.44,327.56,480.04,381.68,307.69,555.41,435.55,249.73,387.02,312,165.57,490.14,463.65,346.29,255,305.55,248,441.64,258.57,429.54,470.14,273.37
TONSL,161.02,785.88,50.98,145.02,29.7,409.15,137.14,102.97,206.94,336.79,55.89,223.41,103.69,273.37,197.09,159.9,205.5,529.06,107.38,466.88,135.24,150.17,117.6,68.07,289.02,165.57,103.69
TMEM98,1208.34,660.68,2434.5,1066.48,1806.78,1519.15,1135.2,1183.45,679.29,521.76,698.41,633.73,1119.56,1794.29,172.65,343.89,1277.29,186.4,1096.5,185.11,775.05,1259.69,1051.79,473.41,2061.24,1437.15,1844.76
EHD1,423.61,1870.53,775.05,995,1572.76,599.49,802.41,708.18,1088.92,802.41,295.11,848.22,255,961.07,412,1519.15,1081.39,450.94,555.41,463.65,1015.93,813.63,1268.46,1023,438.59,808,872.1
LCN2,0,141.02,37.85,126.12,90.77,3.96,18.56,753.83,220.32,1467.37,30.12,4512.4,16.15,723.08,1.62,1225.22,228.13,4.5,201.25,202.66,197.09,48.18,109.66,20170.07,187.71,638.15,54.33
ATP1B1,2133.97,1909.85,4972.34,3443.31,6607.01,1015.93,1487.87,5831.91,5292.48,836.53,4210.15,1088.92,791.35,8363.13,651.58,1159.07,327.56,961.07,438.59,3419.52,5555.65,571.05,1216.75,1991,575.03,3168.41,1250.98
FADS1,743.43,825,297.17,67.12,221.86,237.86,72.01,260.38,206.94,208.38,133.36,466.88,29.48,242.88,854.13,703.28,123.5,1096.5,135.24,31,125.24,214.27,70.01,830.75,426.57,529.06,2148.82
MT-ATP8,313910.86,214407.12,262143,150561.19,198667,221968.2,350728.68,284880.02,254974.66,456418.21,2485.67,303217.87,176583.6,402881.61,288856.81,241220.67,875652.15,506427.83,425853.18,869603.57,472513.8,123144.13,116501.39,378516.38,101420.22,181548.07,322736.12
CD48,480.04,353.59,267.73,1001.93,323.03,684.02,389.72,423.61,703.28,674.59,1322.37,318.57,16.03,202.66,351.14,457.25,830.75,112.77,80.01,358.54,154.42,348.71,1331.57,583.07,85.82,669.92,389.72
CCDC64B,251.48,587.13,226.54,733.19,283.05,295.11,293.07,197.09,435.55,1733.13,94.01,239.52,571.05,262.2,102.25,34.51,108.9,460.44,150.17,334.46,595.34,454.09,674.59,403.5,441.64,507.46,190.34
HOXC9,138.1,187.71,121.79,265.87,149.12,941.27,674.59,384.34,229.72,607.87,143.01,131.51,10.08,170.25,426.57,96.01,214.27,514.56,356.05,409.15,536.45,249.73,384.34,400.71,406.31,191.67,193.01
HIST2H3PS2,0,15.11,1.19,0,0,3.26,0,1.17,9.27,0,0,0,0,0,0,2.43,13.93,0,9.06,0,0,0,0,0,0.71,0,0
AQP6,65.72,1.46,50.63,8.85,0.75,0.38,0,1.07,13.52,10.39,6.26,1.04,2.84,1.13,17.25,4.17,0,12.27,0,3.59,1.1,0.68,0.38,2.34,5.77,2.61,2.58
NXPH4,5.28,1519.15,16.39,18.16,18.43,236.21,94.67,217.27,228.13,1295.13,4.43,71,41.81,6.06,9.63,76.71,42.41,12.18,332.14,113.56,72.01,8.78,61.25,126.12,285.03,145.02,19.82
YIPF7,0.61,1.39,1.38,7.34,0,1.3,2.46,0.68,0,0,11.47,3.59,0,1.41,0.68,1.87,0,0,0,1.04,1.73,2.2,1.99,0,0.29,0,2.12
C8orf48,195.72,26.1,14.14,11.64,18.03,6.01,29.7,59.97,9.41,8.38,187.71,27.05,1.23,67.59,46.5,13.93,16.88,141.02,2.97,50.98,125.24,120.1,19.39,5.32,5.15,2.48,17.38
OSBPL6,58.71,177.53,182.55,251.48,224.97,214.27,14.14,138.1,37.59,52.08,28.65,63.89,173.85,40.64,34.02,6.57,82.29,65.72,65.26,98.04,130.6,159.9,67.59,58.3,42.11,397.93,53.57
SLC35E1,775.05,830.75,1151.06,1015.93,1044.52,1295.13,961.07,902.89,796.86,947.83,1008.9,470.14,1819.35,1001.93,878.17,1183.45,629.35,1359.57,1199.98,1119.56,1340.84,1088.92,896.64,909.17,718.08,1167.14,1030.12
SLC35G1,36.79,43.32,13.62,20.86,29.7,33.3,16.51,52.08,24.81,6.31,36.79,45.21,36.79,36.01,36.53,102.97,103.69,15.68,50.98,9.63,6.89,12.36,31.9,42.71,94.01,5.41,38.12
C17orf67,71,28.65,11.3,30.12,10.71,22.43,31.9,25.91,14.14,24.28,23.76,35.25,47.17,33.06,92.7,11.82,46.5,61.25,18.03,21.78,21.32,18.16,18.56,43.02,28.24,21.94,62.12
RNF182,12,2.41,1.39,2.94,3.08,163.28,6.78,8.13,1.55,4.78,10,81.71,3.29,6.84,8.92,2.46,3.32,4.9,6.11,2.07,5.36,0.66,3.26,0,0.91,2.78,5.82
KLK3,0,0,0.66,55.49,336.79,0,1.35,2.63,0.59,1.35,2.53,0,0,5.15,0,0.29,3.26,0,0,0.33,10.71,2.43,4.86,0,3.99,14.35,3.79
ZNF658,47.84,19.97,52.08,63.45,41.81,70.01,40.07,52.82,46.5,25.35,186.4,68.55,36.79,43.32,6.41,27.64,54.72,65.26,78.89,4.13,38.95,43.63,35,66.18,36.53,69.03,42.71
AC005544.1,14.67,8.51,18.97,76.17,6.26,0,0,8,18.03,25.17,72.52,0,54.33,44.25,137.14,4.17,6.06,63,1.17,6.26,31.9,13.52,10.96,63.45,24.11,10.96,52.45
AIM1L,12.45,108.9,87.03,132.44,20.41,187.71,88.26,23.59,264.03,389.72,29.7,61.25,4.39,16.88,17,11.73,115.16,77.79,58.3,30.34,132.44,50.63,82.29,180.02,100.13,39.5,10.47
DUSP18,149.12,119.26,116.78,134.3,138.1,141.02,111.99,109.66,131.51,67.12,153.34,115.16,125.24,153.34,182.55,100.83,96.01,145.02,43.02,70.51,82.29,61.68,61.25,62.12,93.35,181.28,214.27
ZNF396,253.23,44.57,249.73,142.01,82.87,115.16,69.52,129.69,169.07,67.12,167.9,78.89,218.79,92.7,185.11,55.89,29.06,98.73,87.03,105.15,106.63,137.14,39.79,57.49,68.55,94.01,67.12
B3GNT3,3.35,191.67,2.41,44.89,10.47,22.26,16.88,33.78,157.68,371.22,23.42,23.25,4.78,66.18,1.06,15.11,23.25,0.34,25.17,4.1,23.59,12.18,25.91,128.79,341.51,105.15,132.44
C11orf52,785.88,842.36,647.07,403.5,343.89,392.44,507.46,830.75,438.59,327.56,181.28,435.55,368.65,414.87,954.43,281.09,397.93,351.14,258.57,366.09,579.04,961.07,718.08,674.59,334.46,780.44,753.83
FRG1B,529.06,236.21,381.68,728.11,336.79,426.57,473.41,395.18,476.71,157.68,329.84,166.73,961.07,46.18,551.56,262.2,208.38,77.25,366.09,612.11,262.2,412,229.72,334.46,688.78,954.43,217.27
TPI1,12764.83,12244.81,12160.22,10440.2,8363.13,9740.98,13492.72,9876.98,12244.81,12676.65,7382.04,24832.5,8963.45,16383,11112.3,20451.65,30572.63,10808.41,17197.56,14262.1,9088.59,11504.21,11189.6,16611.71,14163.58,15499.21,18689.27
H3F3B,21172.91,13492.72,24660.96,17317.18,32994.92,41188.81,143430.26,18304.63,18560.17,15392.14,7642.41,28525.2,15607.02,27745.15,13968.57,26800.01,15715.58,30572.63,22225.61,13586.57,18950.18,26986.43,23986.58,8191,43840.21,23820.89,18178.19
HMGCS1,1397.83,1088.92,808,616.37,1008.9,1143.1,460.44,693.58,775.05,813.63,915.51,1437.15,500.46,1015.93,1651,796.86,775.05,1388.16,497,607.87,698.41,866.07,376.41,1088.92,1331.57,884.29,1015.93
DLAT,392.44,842.36,599.49,256.78,438.59,417.77,287.01,466.88,206.94,269.6,400.71,616.37,255,327.56,595.34,454.09,967.76,476.71,780.44,318.57,423.61,842.36,285.03,688.78,466.88,543.96,718.08
TMEM91,60.39,189.02,466.88,381.68,237.86,135.24,139.07,190.34,226.54,218.79,109.66,35.25,244.57,171.45,150.17,144.01,102.97,46.18,72.52,108.9,217.27,106.63,318.57,100.83,87.03,126.12,122.64
ERP29,3639.7,1769.57,2935.74,3190.46,2935.74,2075.59,3847.29,1583.71,3419.52,4481.23,1322.37,2061.24,2520.38,3081.75,2720.15,3081.75,2240.11,2047,2956.17,2855.44,2816.11,2133.97,4010.71,2240.11,3018.3,4095,3491.39
PTPN20B,37.59,34.26,5.77,120.94,5.15,33.54,1.77,3.72,1.57,24.46,124.37,139.07,1.25,57.89,0,56.68,223.41,13.12,150.17,61.25,3.11,144.01,0,1.31,10.88,1.6,66.65
BIK,260.38,521.76,400.71,595.34,218.79,1617,1769.57,723.08,860.08,480.04,239.52,175.07,1268.46,232.94,575.03,23.08,13.42,660.68,20.26,633.73,271.48,106.63,507.46,525.39,698.41,679.29,236.21
PTPN2,612.11,819.3,603.67,559.28,728.11,366.09,500.46,571.05,551.56,417.77,1001.93,1709.26,638.15,409.15,454.09,1096.5,708.18,279.14,1191.69,988.12,358.54,301.33,426.57,426.57,559.28,503.95,529.06
AP000304.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,2.94,0,0,0,2.61,0,0,0,1.95,0
SH2D1B,7.63,1.69,4.66,7,4.03,11.82,16.39,1.97,1.79,4.06,19.97,1.91,1.19,3.08,8.58,5.11,9.7,3.06,0.3,6.67,3,3.35,3.86,7.69,0.58,1.53,6.46
WDR47,368.65,120.94,204.07,154.42,246.28,120.94,135.24,199.85,109.66,86.43,204.07,137.14,147.06,145.02,218.79,146.03,170.25,246.28,186.4,72.52,118.43,242.88,100.13,182.55,113.56,162.14,172.65
VWA7,189.02,18.7,74.58,29.7,19.97,17.77,7.17,38.4,21.63,37.59,22.1,149.12,87.03,134.3,74.58,50.27,22.92,299.25,10.24,59.55,51.35,122.64,20.11,88.88,49.21,17.51,11.38
AGR2,15392.14,19348.38,12160.22,7966.99,9151.82,1769.57,18560.17,8840.04,15285.81,4419.52,7130.55,81.14,39237.98,12329.98,218912.29,126.12,177.53,825,177.53,5672.41,22535.88,114103.8,22072.07,11992.79,6250.56,76330.98,36106.23
