Hugo_Symbol,TCGA-AC-A2BM-01A-11R-A21T-07,TCGA-A8-A075-01A-11R-A084-07,TCGA-A2-A0EM-01A-11R-A034-07,TCGA-A7-A3J1-01A-11R-A213-07,TCGA-BH-A0BO-01A-23R-A12D-07,TCGA-A8-A08L-01A-11R-A00Z-07,TCGA-AN-A0FW-01A-11R-A034-07,TCGA-E2-A1L9-01A-11R-A13Q-07,TCGA-E2-A15K-01A-11R-A12P-07,TCGA-C8-A8HP-01A-11R-A36F-07,TCGA-AC-A3OD-01A-11R-A21T-07,TCGA-AN-A0AT-01A-11R-A034-07,TCGA-A7-A0DC-01A-11R-A00Z-07,TCGA-AR-A1AU-01A-11R-A12P-07,TCGA-E9-A228-01A-31R-A157-07,TCGA-A2-A0D2-01A-21R-A034-07,TCGA-E2-A1AZ-01A-11R-A12P-07,TCGA-D8-A1XF-01A-11R-A14D-07,TCGA-AR-A1AH-01A-11R-A12D-07,TCGA-AN-A03Y-01A-21R-A00Z-07,TCGA-BH-A0HQ-01A-11R-A034-07,TCGA-A8-A090-01A-11R-A00Z-07,TCGA-AC-A3BB-01A-21R-A19W-07,TCGA-A8-A08B-01A-11R-A00Z-07,TCGA-EW-A1PC-01B-11R-A21T-07,TCGA-A8-A081-01A-11R-A00Z-07,TCGA-C8-A12O-01A-11R-A115-07
LRP5L,94.67,71,34.26,162.14,78.34,82.29,39.79,60.39,162.14,111.99,119.26,66.65,170.25,33.54,35.5,88.26,44.25,85.82,53.57,115.16,37.32,68.55,120.94,154.42,63.89,80.57,64.34
ACOT13,511,603.67,256.78,239.52,217.27,387.02,476.71,684.02,476.71,616.37,262.2,1651,532.74,211.31,368.65,884.29,476.71,285.03,674.59,353.59,397.93,521.76,376.41,1044.52,733.19,457.25,299.25
RPL38,22380.2,25708.25,34876.28,28132.47,31215.04,55491.3,170568.48,34876.28,30151.71,27174.14,21468.49,53230.77,22072.07,37379.55,55491.3,41188.81,55107.99,43537.38,55107.99,57051.4,41475.31,27938.14,46662.28,37901.36,54727.32,22225.61,37379.55
CCDC96,147.06,106.63,121.79,137.14,78.89,57.08,96.68,82.29,151.22,152.28,12.93,16.63,63,114.36,77.25,15,30.78,71.5,14.24,105.89,130.6,120.1,105.15,85.82,35.25,84.04,47.84
LILRA5,29.91,25.72,9.78,32.59,316.37,29.27,10.24,52.08,26.86,53.57,145.02,22.92,4.31,14.89,17.25,47.17,49.91,16.39,18.03,22.59,9.06,50.98,38.12,33.06,3.92,24.81,27.64
KCMF1,954.43,1487.87,1081.39,808,1088.92,1081.39,1015.93,1225.22,860.08,1216.75,540.19,2271.4,915.51,1015.93,947.83,1685.71,1143.1,1001.93,1977.24,688.78,785.88,915.51,723.08,1059.11,1008.9,1242.34,1216.75
MVK,591.22,320.8,379.04,318.57,187.71,295.11,432.53,293.07,273.37,764.36,171.45,327.56,229.72,309.83,406.31,748.61,244.57,450.94,351.14,361.04,332.14,460.44,341.51,242.88,287.01,339.14,356.05
GSDMC,1.3,7.4,1.45,6.73,7.4,27.44,2.18,6.57,22.59,87.03,15,10.24,2.2,13.62,2.84,132.44,41.81,1.97,105.89,40.36,2.84,55.1,8.45,1340.84,109.66,33.78,62.56
ITLN2,2.73,0,0,0.67,0,1.95,2.78,1.03,0,2.43,5.96,1.95,1.22,0,22.92,1.25,0,0,0,0,0,0,0,0,0.89,0,0
COQ7,591.22,490.14,723.08,532.74,318.57,791.35,624.99,567.1,928.3,466.88,323.03,244.57,974.5,366.09,409.15,361.04,156.59,289.02,193.01,435.55,713.11,420.68,497,780.44,447.82,967.76,543.96
